Name,Complete,Project Photos,Category,Client,Project Lead,Project Team,Kickoff date,Due date,Notes,Tasks
NYC Parks Brand Identity,checked,"NYC_Parks_02.jpg (https://dl.airtable.com/LTEU1sNkSICLdKbU5Ugw_NYC_Parks_02.jpg),NYC_Parks_03.jpg (https://dl.airtable.com/AoFBCcPqR1OVAbDz1zmx_NYC_Parks_03.jpg),NYC_Parks_05.jpg (https://dl.airtable.com/BWkudEAVTWyGSu7ZVq7m_NYC_Parks_05.jpg)",Brand Identity,New York City Parks,Chuck Harrison,"Emily Pilloton,Eddie Opara",9/15/2017,9/29/2017,,
Second Home Brand Identity,checked,"SH_visuals1.jpg (https://dl.airtable.com/CmBda7lRouamBjmoR71s_SH_visuals1.jpg),SH_visuals2.jpg (https://dl.airtable.com/Fdk2TckJTQCEMZ2jANwQ_SH_visuals2.jpg),SH_visuals2C.jpg (https://dl.airtable.com/8NYc5ZRnR32B8zF825sD_SH_visuals2C.jpg)",Brand Identity,Second Home,Jasper Morrison,"Chuck Harrison,Anishka Clarke,Eddie Opara",9/25/2017,10/9/2017,,
Codecademy Brand Identity,checked,"blogPost-01_1_logo.jpg (https://dl.airtable.com/nHAwoWlARzyeag5iK2Nz_blogPost-01_1_logo.jpg),blogPost-04_1_color1.jpg (https://dl.airtable.com/ZmNcZC1mTfKZNP0srxVN_blogPost-04_1_color1.jpg),blogPost-05_3.jpg (https://dl.airtable.com/5lpqRChTlKff4OIhINn8_blogPost-05_3.jpg),blogPost-05_4_ui_toolkit1.jpg (https://dl.airtable.com/SIxa8l3dSgmUfBtscguv_blogPost-05_4_ui_toolkit1.jpg),blogPost-09.3_Learn1.jpg (https://dl.airtable.com/Vz5BVfmfTHOtk97eK45s_blogPost-09.3_Learn1.jpg)",Brand Identity,Codecademy,Chuck Harrison,"Anishka Clarke,Patricia Urquiola",10/6/2017,10/20/2017,"Codecademy’s reach is extensive and has rapidly grown: the site attracted an astonishing 200,000 users in the first seven days following its launch in 2011, and its current 24 million aspiring programmers represent a remarkably wide demographic that is evenly split between male and female, and the very young and the old, something that is unusual in the heavily young, male tech sector. A major factor in the platform’s popularity is its sense of community. Each aspiring programmer has his or her own profile, and to motivate users to participate, the site offers feedback and badges for completing exercises, as well as a function that keeps track of a user’s total score and total day streak, and displays it to others.


The new brand identity establishes a uniform visual language that creates a sense of continuity across Codecademy’s wide range of training and activities. Open and adaptable, the identity is an umbrella that can be modified to represent different sections and sub-brands and expanded as Codecademy grows. The cohesive strategy enhances the usability of the platform and presents Codecademy as a mature, sophisticated organization on par with the major corporations, agencies and institutions it has entered into partnerships with, including the White House, YouTube, Twitter, New York University, NPR, SoundCloud, Gilt, and many others.

",
Mohawk Brand Identity,checked,"mohawk_logo_multicolor_web.jpg (https://dl.airtable.com/H93JUCKRXSl3RLYXJYk7_mohawk_logo_multicolor_web.jpg),mohawk_logo_watermar_web.jpg (https://dl.airtable.com/1eJ5ZFpvQr5pV2nGDtuX_mohawk_logo_watermar_web.jpg),mohawk_business_cards_web.jpg (https://dl.airtable.com/C65f60ypSXa86hDbCKJl_mohawk_business_cards_web.jpg),mohawk_process_posters_web.jpg (https://dl.airtable.com/gYTo47QUSGeXleTneM3h_mohawk_process_posters_web.jpg)",Brand Identity,Mohawk,Emily Pilloton,Patricia Urquiola,10/12/2017,10/26/2017,,
MOMA Brand Identity,,"MoMA_P127_sm.jpg (https://dl.airtable.com/xwWREG0GQWKrTpYqJRla_MoMA_P127_sm.jpg),_MG_1144_sm.jpg (https://dl.airtable.com/JMxeyJoFTcWHH0k1DcWo__MG_1144_sm.jpg),MoMA_Miro_Ad_sm.jpg (https://dl.airtable.com/2Nzclg0SSAKs2Zx56Wrr_MoMA_Miro_Ad_sm.jpg),combined_sm.jpg (https://dl.airtable.com/voU4tKO5REGi9rBxF0q3_combined_sm.jpg)",Brand Identity,Museum of Modern Art,Gail Anderson,"Eddie Opara,Naoto Fukasawa",10/24/2017,11/7/2017,,
Tea Packaging,,"Bigelow_Location16464_626px.jpg (https://dl.airtable.com/FAU9xPuwR2WD5BVh2lnQ_Bigelow_Location16464_626px.jpg),Bigelow_2_Studio4225_before_after_626px.jpg (https://dl.airtable.com/gBj6wjGNTxqshShyvauW_Bigelow_2_Studio4225_before_after_626px.jpg),Bigelow_2_Studio4223_626px.jpg (https://dl.airtable.com/36gSUuQSkyJaeBl7aUlq_Bigelow_2_Studio4223_626px.jpg)",Brand Identity,Bigelow Tea,Patricia Urquiola,"Emily Pilloton,Jasper Morrison,Eddie Opara",10/16/2017,10/30/2017,,Research other tea packaging
Ultimate Utility Bike,,"OM_hero_626px.jpg (https://dl.airtable.com/dyzSjPMQum6DhxGli7Kx_OM_hero_626px.jpg),OM_Controls_626px.png (https://dl.airtable.com/3umfgw90TLWNSBLCpjqJ_OM_Controls_626px.png),OM_Side_626px.jpg (https://dl.airtable.com/avog2BzHQdOXHsnyAcdT_OM_Side_626px.jpg)",Industrial Design,Oregon Manifest,Gail Anderson,Naoto Fukasawa,10/4/2017,10/18/2017,"Oregon Manifest is a non-profit that aims to show that bikes can make the world a better place. The Portland-based organization celebrates the craft, design, and innovation of bicycles by leading an biennial national competition that challenges top bike builders to create the ultimate utility bike, which can both survive a rigorous road trial and integrate seamlessly into everyday life.For Oregon Manifest, the utility bike is the transportation mode of the future for millions of Americans who want to live healthier, more sustainable lives, but don’t think of themselves as cyclists. But the two-wheeled revolution, according to the organization, won’t come on the saddle of a race bike or a specialty bike — and that’s the challenge.

http://www.ideo.com/work/faraday-bike
",
MIT Media Lab Logo,checked,"07_MITML_ML_logo_white_on_black.jpg (https://dl.airtable.com/1ITT2U0NT6CxxlO08QwU_07_MITML_ML_logo_white_on_black.jpg),06_MITML_ML_logo_black_on_white.jpg (https://dl.airtable.com/hLB8ixxcQNGljg4RACFH_06_MITML_ML_logo_black_on_white.jpg)",Industrial Design,Massachusetts Institute of Technology,Emily Pilloton,Anishka Clarke,10/17/2017,10/31/2017,,
443 Greenwich Brand Identity,,"01_logo.jpg (https://dl.airtable.com/6LDu1UBRUmeWnBoFfwpA_01_logo.jpg),02_Pentagram-9-5-1420274-copy.jpg (https://dl.airtable.com/PqAyLyASeOXFcMrj24Mm_02_Pentagram-9-5-1420274-copy.jpg)",Industrial Design,Metro Loft,Gail Anderson,"Gail Anderson,Patricia Urquiola",9/28/2017,10/12/2017,,
C17 Bike Saddle,checked,"brooks_lifestyle_03_626px.jpg (https://dl.airtable.com/9RLIysXkS6iSIpyNAj75_brooks_lifestyle_03_626px.jpg),Cambium-3_4-uomo_626px.jpg (https://dl.airtable.com/WcM1rXZ5SnC6Ir32evIG_Cambium-3_4-uomo_626px.jpg),brooks_lifestyle_06_626px.jpg (https://dl.airtable.com/iadmitEdT2GyZ46rB5IB_brooks_lifestyle_06_626px.jpg),Cambium-Front-uomo_53px.jpg (https://dl.airtable.com/pJRp7clXSGOgxxk5Tzad_Cambium-Front-uomo_53px.jpg)",Industrial Design,Brooks England,Chuck Harrison,Chuck Harrison,10/11/2017,10/25/2017,,
